ilat	ilon	d	mrad
2	1	2014-03-12	47.97287946384446
0	0	2014-01-17	44.119893478369
0	1	2014-01-03	43.33043374886841
2	1	2014-04-23	46.74277324302524
0	1	2014-08-16	46.44240036793244
0	2	2014-11-09	44.03180643105027
2	1	2014-01-28	44.103612112342766
2	2	2014-03-13	48.397329266331774
2	2	2014-11-08	45.819689378284274
0	0	2014-02-18	44.18836952583498
0	1	2014-04-11	44.092119015123316
1	1	2014-05-03	49.019397896197795
2	0	2014-07-06	49.34918193967662
0	0	2014-02-14	43.55519474000169
0	1	2014-05-28	45.59801428784802
1	0	2014-10-08	43.69518052549647
1	2	2014-06-29	48.79605526205028
2	0	2014-02-06	45.9094530188519
0	2	2014-01-27	41.799111016723295
1	0	2014-07-13	47.242757499456594
1	0	2014-10-19	43.58567747552288
1	1	2014-03-31	44.88369668998189
2	0	2014-06-20	50.99781399182135
0	1	2014-03-21	43.07802509180705
0	2	2014-02-14	46.0914949990489
1	0	2014-10-22	43.156800057124165
2	2	2014-02-06	44.558015002375065
2	2	2014-09-17	49.88629152873748
1	0	2014-01-12	41.456208853140765
1	0	2014-08-27	46.700575636380584
2	0	2014-11-19	43.88713637743991
2	2	2014-02-14	48.60954189300537
0	1	2014-01-27	42.578005763950635
0	2	2014-06-08	47.4024662273481
0	2	2014-07-28	46.25262170691032
2	0	2014-08-12	49.51734547181563
2	2	2014-10-31	44.6438133438342
0	1	2014-04-18	45.34230813555959
1	0	2014-10-04	48.39687861336602
2	0	2014-10-26	41.81022072173197
2	1	2014-08-01	51.74884943736913
0	1	2014-03-17	43.30867627826331
1	2	2014-11-21	44.32389998444814
1	2	2015-01-10	43.75709760946702
2	1	2014-06-08	50.31153961016061
0	0	2014-02-16	43.891325850758314
0	0	2014-06-24	46.55837651073759
0	1	2014-01-29	39.95424193323804
0	1	2014-10-21	43.65983194751106
1	0	2014-05-03	47.34436299092061
1	2	2014-02-25	47.35973775096056
2	2	2014-07-25	50.93590590304697
0	1	2014-12-02	43.696837376448194
2	0	2014-09-05	48.255736842945744
2	1	2014-11-02	44.487720509919605
2	2	2014-09-16	48.486363452413805
1	2	2014-11-16	43.39952717601544
0	0	2014-09-14	45.37329114976489
0	1	2014-09-07	45.55906765128008
1	0	2014-10-26	41.8445174411743
1	1	2014-08-01	48.38251170887965
2	0	2014-02-23	48.10140622801082
2	0	2014-06-16	53.62875186352471
0	0	2014-02-01	42.96842143322912
0	1	2014-06-29	46.72137068334173
1	2	2014-07-07	49.07606808394412
2	0	2014-01-15	41.72460314846443
2	1	2014-06-27	52.4040169210524
0	0	2014-10-19	43.93576443156616
0	1	2014-03-31	43.144155427252024
1	0	2014-06-12	50.76969855926322
0	1	2014-07-26	44.9452646521966
1	1	2014-07-07	48.675684800037516
2	1	2015-01-02	37.43388338329624
2	2	2014-09-28	45.7652326452321
0	2	2014-08-09	47.4794665481105
1	1	2014-03-17	46.28359916951959
2	0	2014-07-11	49.46058153513513
0	0	2014-11-22	45.17176649256098
0	0	2015-01-01	41.740890002226315
0	2	2014-10-03	44.318730328238836
1	0	2014-06-02	46.406250788915955
1	1	2014-09-29	45.45826194473722
1	1	2015-01-12	44.36792926546894
1	2	2014-04-07	47.81617976852541
0	0	2014-08-04	45.0343558759925
0	2	2014-02-08	42.055291217533984
1	0	2014-07-09	48.71577699829101
1	2	2014-12-12	44.63354859190831
2	0	2014-10-11	44.92901582477474
2	2	2014-01-03	42.39946534493773
2	2	2014-03-16	50.12833604716384
0	0	2014-03-19	43.082727858540906
0	0	2014-12-28	43.155408023184194
0	1	2014-12-04	43.52689047942221
0	2	2014-02-02	42.35096439395112
1	1	2014-07-11	48.971670763136665
2	1	2014-02-19	48.48698210573482
2	1	2014-04-18	48.227277832747625
0	2	2015-01-21	42.57057728902961
1	0	2014-01-07	39.379097349489385
1	0	2014-07-21	48.11161690760031
1	0	2014-12-17	43.91245446143212
1	1	2014-07-22	47.71319356803193
2	1	2014-09-02	49.44043807748467
1	0	2014-09-14	47.488842534890395
1	1	2014-02-28	45.992244617863214
1	1	2014-09-07	46.60652929165107
2	1	2014-05-27	48.95563063981025
2	1	2014-07-28	50.013708074795396
0	0	2014-02-07	42.774160257593124
0	1	2014-12-25	42.23587570591273
1	0	2014-04-03	46.80824967458961
1	0	2014-04-21	46.67209875486778
2	0	2014-06-26	51.78625167684352
0	1	2014-03-07	44.422390906689664
1	0	2014-02-02	44.336597320460285
1	1	2014-05-29	47.59814120073841
1	1	2014-08-22	46.33493103438475
2	1	2014-10-12	45.00755133872994
0	0	2014-03-08	44.83111682367244
0	1	2014-09-16	43.658205724233454
0	2	2014-09-29	44.13497841402318
0	2	2015-01-12	41.52302029577788
0	0	2014-04-05	44.80347091541948
0	1	2014-08-09	45.441458320877885
0	1	2014-09-10	45.0426745652504
0	2	2014-01-16	43.71190742132901
0	2	2014-11-30	43.57711867497935
2	1	2014-03-19	50.04752222105514
2	1	2014-12-28	44.772236143688545
0	0	2014-08-31	45.61529648205465
0	2	2014-10-04	44.940287051992684
1	1	2014-06-22	49.22177292627927
1	1	2014-06-30	48.55517133118841
1	1	2014-07-14	48.08756355536769
1	2	2014-08-03	47.982612795757156
1	2	2014-11-28	44.658313102640484
1	2	2014-12-09	45.345213292042075
1	2	2014-12-30	41.90904962509184
0	1	2014-04-04	43.828045136232674
1	0	2014-05-27	49.426087933357316
1	0	2014-06-08	48.510452921953366
1	0	2014-07-28	48.33384247445329
1	1	2014-01-01	43.94042847730887
1	1	2014-09-27	44.737587283998415
2	0	2014-05-21	50.12980597971296
2	2	2014-07-15	53.980400868119865
0	0	2014-01-05	44.35622432688975
1	0	2014-10-07	45.780990724572625
1	2	2014-10-25	44.04009936712669
1	2	2014-11-03	43.48294936057849
2	0	2014-02-24	47.395240574092654
2	0	2014-08-05	48.911445876299325
2	1	2014-08-12	52.19833680709278
0	1	2014-04-30	45.44200349160764
1	0	2014-04-26	47.56393594802362
1	1	2014-02-11	47.40770063510238
1	1	2014-12-06	43.412564472889336
1	2	2014-12-02	43.67893276790921
0	2	2014-02-20	43.86486667475592
1	2	2014-11-11	42.88338297768704
2	0	2014-07-03	51.83876590655117
2	0	2014-08-29	49.006777419656665
1	0	2014-08-04	47.7539826647999
2	2	2014-02-11	51.279564774881194
2	2	2014-04-28	49.524247346100985
2	2	2014-12-06	43.1057281855054
0	0	2014-02-15	43.57608259213516
0	0	2014-05-06	45.38468893266857
1	2	2014-04-17	47.55584779885071
2	1	2014-05-17	52.748513398770086
2	1	2014-09-09	48.21724351344665
2	2	2014-06-11	51.87442676178216
0	1	2014-02-09	42.8088931487493
0	1	2014-09-17	43.74520404237925
1	2	2014-04-23	46.86767838341204
2	2	2014-08-27	49.95099464622704
0	1	2014-05-27	45.3720304584537
0	1	2014-06-08	45.57688487859608
0	1	2014-07-28	45.42833693426941
1	2	2014-04-16	48.69643910557937
2	1	2014-10-31	44.12968318034088
0	0	2014-05-10	45.36385564745569
0	1	2014-07-07	46.1851112116773
0	2	2014-12-22	42.14688498180748
1	0	2014-01-25	44.44848952403893
1	1	2014-09-24	45.737094418080936
2	2	2014-02-17	47.42449457027482
0	2	2014-05-30	48.31867637800858
2	2	2014-07-10	52.795319905356756
1	1	2014-08-16	48.46977160942791
1	2	2014-11-09	44.39733637391008
2	0	2014-02-04	46.01791212003525
0	0	2014-10-09	44.160253833385
1	0	2014-02-23	45.719884605265435
1	0	2014-06-16	49.70276891168558
2	0	2014-01-02	40.755905902935396
2	0	2014-11-10	45.35060288383172
0	2	2014-04-09	44.65010351793657
1	2	2014-04-03	47.421262375851896
1	2	2014-04-21	47.5603948532295
0	1	2014-01-26	42.4975332270197
1	1	2014-08-25	46.73622724010265
1	1	2014-11-17	45.12766796638132
1	2	2014-09-04	45.65076748184893
1	0	2014-08-14	46.46143879290148
1	1	2014-03-06	45.63477130004533
2	0	2014-02-08	49.09496513728074
0	1	2014-05-17	47.09825122539814
2	0	2014-08-17	51.58049122880145
0	1	2014-01-23	43.36097145247731
1	1	2015-01-30	42.655691687266035
0	1	2014-01-20	42.09204791300477
0	2	2014-03-11	44.249824875137286
0	2	2014-07-31	44.77373891933117
1	0	2014-11-30	43.3228856939411
1	2	2014-05-23	49.9787552935929
2	0	2014-12-15	42.9339605642993
2	2	2014-06-19	51.63370835077195
1	0	2014-10-12	44.23134667126101
1	1	2014-12-07	43.33272981068913
1	2	2015-01-11	44.953099839674316
2	1	2014-09-23	44.8849171838095
1	2	2014-08-27	48.04190576505793
2	2	2014-11-19	45.9719171853685
1	0	2014-03-02	45.538733909447735
1	0	2014-09-06	45.84271005782034
1	2	2014-04-10	46.50801881696855
1	2	2014-08-19	47.38741623786293
0	0	2014-09-30	44.33951056765682
0	0	2014-11-12	44.73122541366085
0	1	2014-05-13	45.02302301558825
0	1	2014-07-04	47.28754111822463
0	2	2014-07-10	47.145248873898595
0	1	2014-12-31	40.46461103087406
1	0	2014-07-26	47.26148773488598
1	1	2014-01-14	43.35154350208965
1	1	2014-01-30	42.733237536080715
1	1	2014-02-05	44.30442697409078
1	2	2014-05-25	49.63294318626667
2	0	2014-09-04	48.42803110712666
2	2	2014-04-05	49.42149979255103
0	1	2014-02-06	41.93409520142589
0	2	2014-12-10	45.53321112559696
0	0	2014-06-20	46.57683595480681
0	1	2014-03-03	42.7832563692777
1	1	2014-06-09	49.71096183589699
2	2	2014-07-08	53.416463470458986
0	0	2014-07-18	45.17353144148216
1	0	2014-04-04	46.97232042972173
1	2	2014-08-11	49.74055523579347
0	0	2014-05-13	47.51084020530364
0	0	2014-07-04	46.040047378405426
0	2	2014-03-19	41.95187941597308
0	2	2014-12-28	41.46530450206077
1	1	2014-04-29	48.601239850947564
1	1	2015-01-21	46.21624525843659
0	0	2014-09-02	46.5145178878339
1	2	2014-10-06	47.59876855559608
1	2	2014-12-16	42.808906743108146
2	0	2014-07-08	50.80051367843739
0	1	2014-02-22	43.67619368787941
2	0	2014-04-11	49.00415976772224
2	1	2014-01-29	42.549924844509604
2	1	2014-08-21	50.76211644240059
0	2	2014-05-12	44.90845552199167
1	1	2014-05-25	47.57745291503102
2	0	2015-01-07	42.24073645978288
2	1	2014-04-05	48.88228796601204
0	2	2014-11-04	42.92240871696678
1	2	2014-04-12	48.15362397234292
2	0	2014-08-03	50.24424506392074
2	0	2014-11-28	44.59090171813965
2	0	2014-12-09	40.73681642027462
2	0	2014-12-30	42.2712914536639
2	1	2014-04-08	49.92272215657889
0	1	2014-12-03	42.50914827651837
0	2	2014-08-06	47.308030706252495
1	2	2015-01-03	42.07441118057505
2	0	2014-12-27	46.16733126477888
2	2	2014-03-12	48.11833784270985
0	1	2014-05-20	46.11917466817086
0	2	2014-06-24	47.89003514635541
1	0	2014-04-30	48.30303833146035
1	1	2014-01-09	44.48332565844121
1	2	2014-05-03	48.097640271827224
0	1	2014-05-26	46.50289911974542
